EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
10Y1001A1001A84D;IT-MACRZONENORTH;Market Balance Area MACROZONE NORTH;;;Active;;;;Scheduling Area;Y
10Y1001A1001A85B;IT-MACRZONESOUTH;Market Balance Area MACROZONE SOUTH;;;Active;;;;Scheduling Area;Y
10Y1001A1001A869;UA-DOB_TPP;Ukrainian Area of Dobrotvirska TPP;;10X1001C--00001X;Active;;;;Control Area;Y
10Y1001A1001A877;IT-MT;Italy_Malta;;;Active;;;;Bidding Zone;Y
10Y1001A1001A885;IT-SACO_AC;Italy Saco_AC;;;Active;;;;Bidding Zone;Y
10Y1001A1001A893;IT-SACODC;Italy Saco_DC;;;Active;;;;Bidding Zone;Y
10Y1001A1001A90I;IT-MONFALCONE;Italy Monfalcone;;;Active;;;;Bidding Zone;Y
10Y1001A1001A91G;NORDIC_AREA;Nordic Market Area;;;Active;;;;Capacity Calculation Region,LFC Block,Market Area,Outage Coordination Region;Y
10Y1001A1001A92E;UK;United Kingdom;;10X1001A1001A515;Active;;;;Member State;Y
10Y1001A1001A93C;MALTA_AREA;CONTROL AREA ITALY MALTA;;;Active;;;;Control Area,Member State;Y
10Y1001A1001A94A;SYN_BALTICS;Baltic Area;;;Active;;;;LFC Area,LFC Block;Y
10Y1001A1001A958;ICELAND;Member State Iceland;;;Active;;;;Bidding Zone,Control Area,Member State,Scheduling Area;Y
10Y1001A1001A990;MOLDOVA;Moldova;;;Active;;;;Bidding Zone,Control Area,Market Area,Member State,Scheduling Area;Y
10Y1001A1001B004;ARMENIA;Armenia;;;Active;1000;BE;;Market Area;Y
10Y1001A1001B012;GEORGIA;Georgia;;;Active;1000;BE;;Market Area;Y
10Y1001A1001B020;SYRIA;Syria;;;Active;1001;BE;;Market Area;Y
10Y1001A1001B03Z;IRAQ;Iraq;;;Active;1001;BE;;Market Area;Y
10Y1001A1001B04X;IRAN;Iran;;;Active;1002;BE;;Market Area;Y
10Y1001A1001B05V;AZERBAIJAN;Azerbaijan;;;Active;1002;BE;;Market Area;Y
10Y1001C--00002H;LFC-AREA-AMPR-LU;Load-frequency control area of Amprion GmbH-Luxembourg;;10XDE-RWENET---W;Active;;;;LFC Area;Y
10Y1001C--00003F;UA;Ukraine;;10X1001C--00001X;Active;;;;Member State;Y
10Y1001C--00005B;DEAMP-LU-AREA;Border Area DE-Amprion-Luxembourg;;;Active;;;;Border Area;Y
10Y1001C--000069;DETNG-CH-AREA;Border Area DE-TransnetBW-Switzerland;;;Active;;;;Border Area;Y
10Y1001C--000077;DEAMP-FR-AREA;Border Area DE-Amprion-France;;;Active;;;;Border Area;Y
10Y1001C--000085;DEAMP-CH-AREA;Border Area DE-Amprion-Switzerland;;;Active;;;;Border Area;Y
10Y1001C--000093;DETNG-FR-AREA;Border Area DE-TransnetBW-France;;;Active;;;;Border Area;Y
10Y1001C--00010I;DETTG-DE50H-AREA;Border Area DE-TenneT-DE-50Hertz;;;Active;;;;Border Area;Y
10Y1001C--00011G;DETTG-DEAMP-AREA;Border Area DE-TenneT - DE-Amprion;;;Active;;;;Border Area;Y
10Y1001C--00012E;DETNG-DE50H-AREA;Border Area DE-TransnetBW - DE-50Hertz;;;Active;;;;Border Area;Y
10Y1001C--00013C;DETNG-DETTG-AREA;Border Area DE-TransnetBW - DE-TenneT;;;Active;;;;Border Area;Y
10Y1001C--00014A;DETNG-DEAMP-AREA;Border Area DE-TransnetBW - DE-Amprion;;;Active;;;;Border Area;Y
10Y1001C--000158;PL-UA-AREA;Border Area Poland-Ukraine;;;Active;;;;Border Area;Y
10Y1001C--000166;UA-SK-AREA;Border Area Ukraine-Slovakia;;;Active;;;;Border Area;Y
10Y1001C--000174;DE50H-DEAMP-AREA;Border Area DE-50Hertz-DE-Amprion;;;Active;;;;Border Area;Y
10Y1001C--000182;UA-IPS;Ukraine IPS;;;Active;;;;Bidding Zone,Control Area,LFC Area,Scheduling Area;Y
10Y1001C--000190;BE-GB-AREA;Border Area Belgium-Great Britain;;;Active;;;;Border Area;Y
10Y1001C--00020F;EE-ESTLINKBORDER;Border Area Estonia Estlink;;;Active;;EE;;Border Area;Y
10Y1001C--00021D;FI-ESTLINKBORDER;Border Area Finland Estlink;;;Active;;FI;;Border Area;Y
10Y1001C--00022B;CCR-IU;Capacity Calculation Region Ireland - United Kingdom;;10X1001A1001A361;Active;;;;Border Area,Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--000239;CCR-CHANNEL;Capacity Calculation Region Channel;;10X1001A1001A361;Active;;;;Border Area,Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--000247;BDL-AREA;Interconnector area BritNed;;;Active;;;;Scheduling Area;Y
10Y1001C--000255;IF1-AREA;Interconnector area IFA;;;Active;;;;Scheduling Area;Y
10Y1001C--000263;IF2-AREA;Interconnector area IFA2;;;Active;;;;Scheduling Area;Y
10Y1001C--000271;NLL-AREA;Interconnector area Nemo Link;;;Active;;;;Scheduling Area;Y
10Y1001C--00029Y;DE-CZ-AREA;Border Area Germany - Czech Republic;;;Active;;;;Border Area;Y
10Y1001C--00030C;CE;Central Europe;;10X1001C--00006N;Active;;;;Scheduling Area;Y
10Y1001C--00031A;WE;Western Europe;;10X1001C--00006N;Active;;;;Scheduling Area;Y
10Y1001C--000328;EAST-EUROPE;Eastern Europe;;10X1001C--00006N;Active;;;;Scheduling Area;Y
10Y1001C--000336;CGMA_AREA;Common Grid Model Alignment Area;;10X1001A1001A450;Active;;;;Scheduling Area;Y
10Y1001C--000344;ELECLINK_IC;ElecLink Interconnector;;;Active;;;;Scheduling Area;Y
10Y1001C--000352;DE-LU-SE4;Germany-Luxembourg-Sweden 4 Border;;;Active;;SE;;Border Area;Y
10Y1001C--000360;DE-NO-AREA;Border Area Germany - Norway;;;Active;;;;Border Area,Metering Grid Area;Y
10Y1001C--00037Z;EUROPE_EEA_CH;European Single Market Area, EEA plus Switzerland;;;Active;;;;Market Area;Y
10Y1001C--00038X;CZ-DE-SK-LT-SE4;Polish optimization area PLC;;;Active;;;;Border Area;Y
10Y1001C--00039V;IT-SDC-CN-BORDER;Border Area IT-SACODC-CNorth;;;Active;;;;Border Area;Y
10Y1001C--000409;IT-CS-CN-BORDER;Border Area IT-CSouth-CNorth;;;Active;;;;Border Area;Y
10Y1001C--000417;IT-N-CN-BORDER;Border Area IT-North-CNorth;;;Active;;;;Border Area;Y
10Y1001C--000425;IT-SA-SDC-BORDER;Border Area IT-Sardinia-SACODC;;;Active;;;;Border Area;Y
10Y1001C--000433;IT-SA-CS-BORDER;Border Area IT-Sardinia-CSouth;;;Active;;;;Border Area;Y
10Y1001C--000441;IT-S-CS-BORDER;Border Area IT-South-CSouth;;;Active;;;;Border Area;Y
10Y1001C--00055X;IT-S-RSN-BORDER;Border Area IT-South-Rossano;;;Active;;;;Border Area;Y
10Y1001C--00056V;IT-SIC-RSN-BORDE;Border Area IT-Sicily-Rossano;;;Active;;;;Border Area;Y
10Y1001C--00057T;ME-IT-AREA;Border area Montenegro Italy;;10XCS-CG-TSO---5;Active;;;;Border Area;Y
10Y1001C--00058R;NSL-AREA;Interconnector area NSL (Norway-UK);;;Active;;;;Scheduling Area;Y
10Y1001C--00059P;CORE;Core CCR;;;Active;;;;Capacity Calculation Region,Outage Coordination Region,Scheduling Area;Y
10Y1001C--000603;DK1_NL_VT_AC;Virtual AC border Denmark West-Netherlands;;10X1001A1001A361;Active;;;;Border Area;Y
10Y1001C--000611;IT-MONTENEGRO;BIDDING ZONE ITALY-MONTENEGRO;;;Active;;IT;;Bidding Zone;Y
10Y1001C--00082U;TTG-NL-VH-1-AREA;DE TenneT Nordlink Virtual HUB 1;;10XDE-EON-NETZ-C;Active;;;;Market Area;Y
10Y1001C--00083S;RTE-TERRE_WESTEU;Border domain RTE-TERRE Western Europe;;;Active;;;;Border Area;Y
10Y1001C--00084Q;REN-TERRE;Border domain REN-TERRE Western Europe;;;Active;;;;Border Area;Y
10Y1001C--00085O;MFRR_REGION;mFRR region;;;Active;;BE;;Scheduling Area;Y
10Y1001C--00086M;DE-AT-PL-4MMC;Market Coupling Area DE-AT-PL-4MMC;;;Active;;;;Market Area;Y
10Y1001C--00087K;REE-TERRE;Border domain REE-TERRE Western Europe;;;Active;;;;Border Area;Y
10Y1001C--00088I;BD-NORTH-SOUTH;Border Domain NORTHCOMP-SOUTHCOMP;;;Active;;;;Border Area;Y
10Y1001C--00089G;BD-SGD-TERRE-WE;Border Domain Swissgrid-TERRE Western Europe;;;Active;;;;Border Area;Y
10Y1001C--00090V;AFRR_REGION;aFRR Region;;;Active;;;;Scheduling Area;Y
10Y1001C--00091T;IT-CA-SIC-BORDER;Border Area IT-Calabria-Sicily;;;Active;;;;Border Area;Y
10Y1001C--00092R;IT-S-CA-BORDER;Border Area IT-South-Calabria;;;Active;;;;Border Area;Y
10Y1001C--00093P;FR-GB-IFA2-AREA;Border Area for IFA2;;10XFR-RTE------Q;Active;;;;Border Area;Y
10Y1001C--00094N;TTG-NL-VH-2-AREA;DE TenneT Nordlink Virtual HUB 2;;10XDE-EON-NETZ-C;Active;;;;Market Area;Y
10Y1001C--00095L;CCR-SWE;Capacity Calculation Region SWE;;22XCORESO------S;Active;;;;Capacity Calculation Region,Market Area,Outage Coordination Region,Scheduling Area;Y
10Y1001C--00096J;IT-CALABRIA;Italy Calabria;;;Active;;;;Bidding Zone,Scheduling Area;Y
10Y1001C--00097H;FR-GB-EL1-AREA;Border Area for ElecLink;;48X000000000101E;Active;;;;Border Area;Y
10Y1001C--00098F;FR_UK_IFA_BZN;IFA Bidding Zone;;10XFR-RTE------Q;Active;;;;Bidding Zone;Y
10Y1001C--00099D;TERNA-TERREWE;Border Domain TERNA-TERRE Western Europe;;;Active;;;;Border Area;Y
10Y1001C--00100H;CAKOSTT;Control Area Kosovo*;;;Active;;;;Bidding Zone,Control Area;Y
10Y1001C--00101F;CBOST-KOSTT;Control Block Albania-Kosovo*;;;Active;;;;Control Block;Y
10Y1001C--00102D;RKS-MEAREA;Border area Kosovo* Montenegro;;10XRKS-KOSTT-007;Active;;;;Border Area;Y
10Y1001C--00103B;RKS-SRAREA;Border area Kosovo* Serbia;;;Active;;;;Border Area;Y
10Y1001C--001049;RKS-MKAREA;Border area Kosovo* N.Macedonia;;;Active;;;;Border Area;Y
10Y1001C--001057;RKS-ALAREA;Border area Kosovo* Albania;;;Active;;;;Border Area;Y
10Y1001C--001065;FR-GB-IFA-AREA;Border Area for IFA;;10XFR-RTE------Q;Active;;;;Border Area;Y
10Y1001C--001073;COMP_OST_KOSTT;Control Compensation Area Control Block Albania-Kosovo*;;;Active;;;;Control Block;Y
10Y1001C--001081;EWIC-AREA;Interconnector area EWIC;;;Active;;;;Scheduling Area;Y
10Y1001C--00118Z;MOYLE-AREA;Interconnector area Moyle;;;Active;;;;Scheduling Area;Y
10Y1001C--00119X;INREGION;Imbalance netting region;;;Active;;;;Scheduling Area;Y
10Y1001C--00120B;CCR_BALTIC;Capacity Calculation Region Baltic;;;Active;;;;Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--001219;NO_FICT_AREA_2A;Norwegian Fictitious Area 2A;;;Active;;;;Bidding Zone;Y
10Y1001C--001227;SI-HU-AREA;Border area Slovenia-Hungary;;;Active;;;;Border Area;Y
10Y1001C--001235;ROA-CEENORTH;Regional Outage Area Central East Europe North;;;Active;;;;Regional Outage Area;Y
10Y1001C--001243;ROA-CEESOUTH;Regional Outage Area Central East Europe South;;;Active;;;;Regional Outage Area;Y
10Y1001C--001251;ROA-CWE;Regional Outage Area Central West Europe;;;Active;;;;Regional Outage Area;Y
10Y1001C--00127Y;ROA-DACH;Regional Outage Area DACH;;;Active;;;;Regional Outage Area;Y
10Y1001C--00128W;ROA-DRAVA;Regional Outage Area DRAVA;;;Active;;;;Regional Outage Area;Y
10Y1001C--00129U;ROA-EASTEUROPE;Regional Outage Area Central East Europe;;;Active;;;;Regional Outage Area;Y
10Y1001C--001308;ROA-NIB;Regional Outage Area NIB;;;Active;;;;Regional Outage Area;Y
10Y1001C--001316;ROA-REE-REN;Regional Outage Area REE-REN;;;Active;;;;Regional Outage Area;Y
10Y1001C--001324;ROA-REE-RTE;Regional Outage Area REE-RTE;;;Active;;;;Regional Outage Area;Y
10Y1001C--001332;ROA-SHB;Regional Outage Area SHB;;;Active;;;;Regional Outage Area;Y
10Y1001C--001340;ROA-SMMB;Regional Outage Area SMMB;;;Active;;;;Regional Outage Area;Y
10Y1001C--00135Z;ROA-SEE-MG;Regional Outage Area South East Europe MG;;;Active;;;;Regional Outage Area;Y
10Y1001C--00136X;CCR-HANSA;Capacity Calculation Region Hansa;;;Active;;;;Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--00137V;CCR-ITALYNORTH;Capacity Calculation Region Italy North;;;Active;;;;Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--00138T;CCR-GRIT;Capacity Calculation Region Greece Italy;;;Active;;;;Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--00139R;CCR-SEE;Capacity Calculation Region Selene;;;Active;;;;Capacity Calculation Region,Outage Coordination Region;Y
10Y1001C--001405;GB-NO-AREA;Border Area UK-Norway;;;Active;;;;Border Area;Y
10Y1001C--001413;IT-CN-CO-BORDER;Border Area IT-Cnorth-Corsica;;;Active;;;;Border Area;Y
10Y1001C--001421;CMM;Balancing Capacity Calculation Region;;10XCZ-CEPS-GRIDE;Active;;;;Capacity Calculation Region;Y
10Y1001C--00146U;NORDIC_SYNC_AREA;Nordic Synchronous Area;;;Active;;;;Bidding Zone,Synchronous Area;Y
10Y1001C--00147S;UA-MD-AREA;Border Area Ukraine - Moldova;;;Active;;;;Border Area;Y
10Y1001C--00148Q;SE3A;Swedish Fictitious Area SE3A;;;Active;;;;Bidding Zone;Y
10Y1001C--00149O;CH-2-ADFI-AREA;Technical Profile between CH and adjacent areas of AT, DE, FR, IT;;;Active;;;;Border Area;Y
10Y1001C--001502;IE-GB-GIL-AREA;Border area between IE and GB;;;Active;;;;Border Area;Y
10Y1001C--001510;50HZ-DKEVBZ;50Hz-DKE virtual bidding zone on 50Hz side (advanced hybrid coupling);;;Active;;;;Border Area;Y
10Y1001C--00152Z;TTG-VBZ-NO2A;TTG–NO2 Virtual Bidding Zone on TTG side (advanced hybrid coupling);;10XDE-EON-NETZ-C;Active;;;;Border Area;Y
10Y1001C--00153X;PSE-LTVBZ;PSE-LT virtual bidding zone on PSE side (advanced hybrid coupling);;;Active;;;;Local Market Area;Y
10Y1001C--00154V;PSE-SE4VBZ;PSE-SE4 virtual bidding zone on PSE side (advanced hybrid coupling);;;Active;;;;Local Market Area;Y
10YAD-AND------X;ANDORRA;Andorra Market area;;;Active;;;;Scheduling Area;Y
10YAL-KESH-----5;AL;Albania;;;Active;;AL;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area;Y
10YAT-APG------L;AT;Austria;;;Active;1220;AT;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area;Y
10YAT-TIRAG-N--C;TIWAG-NETZ_AREA;TIWAG-Netz AG;;;Active;;;;Scheduling Area;Y
10YAT-VKW-UNG--K;VUEN_AREA;VUEN Area;;;Active;;;;Scheduling Area;Y
10YBA-JPCC-----D;BA;Bosnia and Herzegovina;;;Active;71000;BA;;Bidding Zone,Control Area,LFC Area,Member State,Scheduling Area;Y
10YBE----------2;BE;Belgium;;;Active;;;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area;Y
10YCA-BULGARIA-R;BG;Bulgaria;;;Active;1407;BG;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area,Control Block;Y
10YCB-ALBANIA--1;CB-AL;CB Albania;;;Active;;AL;;Control Block;Y
10YCB-BE-------T;CB-ELIA;Control Block  Belgium;;;Active;;;;Control Block;Y
10YCB-BULGARIA-F;CB_BULGARIA;Elektroenergien Sistemen Operator EAD;;;Active;1407;BG;;Control Block;Y
10YCB-CZECH-REP5;CB-CZECH-REP-ARE;CEPS, a. s.;;;Active;10152;CZ;;Control Block;Y
10YCB-FR-ES-PT-S;CB_FR-ES-PT;Control Block France-Spain-Portugal;;;Active;;;;Control Block;Y
10YCB-GERMANY--8;DE_DK1_LU;CB Germany_Denmark_Luxemburg;10YCC-UCTE-NO--K;10XDE-RWENET---W;Active;50259;DE;;LFC Block,Control Block;Y
10YCB-GREECE---2;CB-GR;CB Greece;;;Active;;GR;;Control Block;Y
10YCB-HUNGARY--J;CB-HU;Control Block Hungary;;;Active;;HU;;Control Block;Y
10YCB-ITALY----1;ITALY_AREA_CB;Control Block  Italy;;;Active;;;;Control Block;Y
10YCB-JIEL-----9;CB-RS_MK_ME;CB Serbia_FYROM_Montenegro;;;Active;;;;LFC Block;Y
10YCB-NL-------V;CB_NL_TENNET;Control Block Netherlands;;;Active;;;;Control Block;Y
10YCB-POLAND---Z;CB-PL;CB Poland;;;Active;;PL;;Control Block;Y
10YCB-ROMANIA--C;CB_ROMANIA;Control Block Romanian Power Grid;;;Active;RO-010325;RO;;Control Block;Y
10YCB-SI-HR-BA-3;CB-SI_HR_BA;CB Slovenia_Croatia_Bosnia and Hercegovina;;;Active;;;;LFC Block;Y
10YCB-SLOVAKIA-H;CB-SLOVAKIA-AREA;Slovenska elektrizacna prenosova sustava, a.s.;;;Active;824 84;SL;;Control Block;Y
10YCB-SWITZERL-D;CB_CH;Control Block  Switzerland;;;Active;;;;Control Block;Y
10YCB-TURKEY---V;CB_TURKEY;Control Block Turkey;;;Active;;TR;;Control Block;Y
10YCC-UCTE-NO--K;CC_RG_CE_NORTH;Coordination Center RG CE North (Amprion);10YEU-CONT-SYNC0;10XDE-RWENET---W;Active;50259;DE;;Coordination Center Zone;Y
10YCC-UCTE-SO--W;UCTE_SOUTH;Control Centre UCTE South (ETRANS);;;Active;;;;Coordination Center Zone;Y
10YCH-SWISSGRIDZ;CH;Switzerland;;;Active;5070;CH;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area;Y
10YCS-CG-TSO---S;ME;Montenegro;;10XCS-CG-TSO---5;Active;;ME;;Bidding Zone,Control Area,LFC Area,Member State,Scheduling Area;Y
10YCS-SERBIATSOV;RS;Serbia;;;Active;11000;RS;;Bidding Zone,Control Area,LFC Area,Member State,Scheduling Area;Y
10YCY-1001A0003J;CY;Cyprus;;;Active;;CY;;Bidding Zone,Control Area,Member State,Scheduling Area;Y
10YCZ-CEPS-----N;CZ;Czech Republic;;;Active;;;;Bidding Zone,Control Area,LFC Area,LFC Block,Member State,Scheduling Area;Y
10YDE-ENBW-----N;DE-TRANSNETBW;Germany TransnetBW;;;Active;70173;DE;;Control Area,LFC Area,Scheduling Area,Market Balance Area;Y
10YDE-EON------1;DE-TENNET_DE;Germany TenneT DE;;;Active;;;;Control Area,LFC Area,Scheduling Area;Y
10YDE-RWENET---I;DE-AMPRION-SCHED;Amprion GmbH;10YCB-GERMANY--8;10XDE-RWENET---W;Active;50259;DE;;Control Area,LFC Area,Scheduling Area,Market Balance Area;Y
10YDE-VE-------2;DE-50HERTZ;Germany 50Hertz;;;Active;;DE;;Control Area,LFC Area,Scheduling Area,Market Balance Area;Y
10YDK-1-------AA;OPT_AREA_DENMARK;Optimization area Denmark1;;;Active;;;;Scheduling Area;Y
10YDK-1--------W;DK1;Denmark DK1;;10X1001A1001A248;Active;;;;Bidding Zone,LFC Area,Scheduling Area;Y
10YDK-2--------M;DK2;Denmark DK2;;10X1001A1001A248;Active;;;;Bidding Zone,LFC Area,Scheduling Area;Y
10YDOM-1001A001A;BALIT;FR and GB Cross Border Coordinated Market Balance Area;;;Active;;;;Border Area;Y
10YDOM-1001A0028;GB-NL_MARKET;Market domain Great Britain – the Netherlands;;;Active;;;;Border Area;Y
10YDOM-1001A0036;IT-SI-AREA;Border area Italy Slovenia;;;Active;;;;Border Area;Y
10YDOM-1001A0044;HR-SI-AREA;Border area Croatia Slovenia;;;Active;;;;Border Area;Y
10YDOM-1001A0060;CH-IT-AREA;Border area Switzerland Italy;;;Active;;;;Border Area;Y
10YDOM-1001A027T;HU-RO-AREA;Border area Hungary Romania;;;Active;;;;Border Area;Y
10YDOM-1001A028R;HU-SK-AREA;Border area Hungary Slovakia;;;Active;;;;Border Area;Y
10YDOM-1001A029P;HU-UA-AREA;Border area Hungary Ukraine;;;Active;;;;Border Area;Y
10YDOM-1001A0303;BA-RS-AREA;Border area BiH Serbia;;;Active;;;;Border Area;Y
10YDOM-1001A0311;MK-RS-AREA;Border area Macedonia Serbia;;;Active;;;;Border Area;Y
10YDOM-1001A033Y;BG-RS-AREA;Border area Bulgaria Serbia;;;Active;;;;Border Area;Y
10YDOM-1001A034W;ME-RS-AREA;Border area Montenegro Serbia;;;Active;;;;Border Area;Y
10YDOM-1001A035U;RO-RS-AREA;Border area Romania Serbia;;;Active;;;;Border Area;Y
10YDOM-1001A036S;ES-AD-AREA;Border Area Spain Andorra;;;Active;;;;Border Area;Y
10YDOM-1001A037Q;FR-GB-SEL-AREA;Border area between France and the UK at Sellindge delivery point;;;Active;;;;Border Area;Y
10YDOM-1001A038O;FR-GB-MAN-AREA;Border area between France and the UK at Mandarins delivery point;;;Active;;;;Border Area;Y
10YDOM-1001A039M;NO-NL-EEMSHAVEN;Border domain Norway-Netherlands at Eemshaven;;;Active;;;;Border Area;Y
10YDOM-1001A0400;NO-NL-FEDA;Border domain Norway-Netherlands at Feda;;;Active;;;;Border Area;Y
10YDOM-1001A041Z;NO-NL-AREA;Border Area Norway-Netherlands;;;Active;;;;Border Area;Y
10YDOM-1001A042X;AL-GR-AREA;BORDER AREA ALBANIA GREECE;;;Active;;;;Border Area;Y
10YDOM-1001A043V;BG-GR-AREA;BORDER AREA GREECE BULGARIA;;;Active;;;;Border Area;Y
10YDOM-1001A044T;ENDK-DK1-DK2;Energinet.dk Storebælt;;10X1001A1001A248;Active;;;;Border Area;Y
10YDOM-1001A045R;ME-BA-AREA;Border area Montenegro BiH;;;Active;;;;Border Area;Y
10YDOM-1001A046P;HR-BA-AREA;Border area Croatia BiH;;;Active;;;;Border Area;Y
10YDOM-1001A047N;CWE-RGCE-BORDER;Border between CWE Zone and the rest of Continental Europe;;;Active;;;;Border Area;Y
10YDOM-1001A048L;FR-RGCE-BORDER;Border between France and the rest of Continental Europe;;;Active;;;;Border Area;Y
10YDOM-1001A049J;ENDK-DK-NO;Energinet.dk/Statnett Skagerrak;;;Active;;;;Border Area;Y
10YDOM-1001A050Y;ENDK-SK1-SK2;Energinet.dk/Statnett SK1 &  SK2;;;Active;;;;Border Area;Y
10YDOM-1001A051W;ENDK-SK3-SK4;Energinet.dk/Statnett SK3 &  SK4;;;Active;;;;Border Area;Y
10YDOM-1001A052U;DE-RGCE-BORDER;Border between Germany and the rest of Continental Europe;;;Active;;;;Border Area;Y
10YDOM-1001A053S;GR-MK-AREA;BORDER AREA FYROM GREECE;;;Active;;;;Border Area;Y
10YDOM-1001A054Q;ME-AL-AREA;Border area Montenegro - Albania;;;Active;;;;Border Area;Y
10YDOM-1001A055O;LV-LT-AREA;Border Area Latvia Lithuania;;;Active;;;;Border Area;Y
10YDOM-1001A056M;LV-RU-AREA;Border Area Latvia Russia;;;Active;;;;Border Area;Y
10YDOM-1001A057K;EE-FI-AREA;Border area Estonia Finland;;;Active;;;;Border Area;Y
10YDOM-1001A058I;EE-LV-AREA;Border area Estonia Latvia;;;Active;;;;Border Area;Y
10YDOM-1001A059G;EE-RU-AREA;Border area Estonia Russia;;;Active;;;;Border Area;Y
10YDOM-1001A060V;LT-SE-AREA;Border Area Lithuania Sweden;;;Active;;;;Border Area;Y
10YDOM-1001A061T;NORTH-ITALY-BORD;Border between Italy and France, Austria, Slovenia, Switzerland;;;Active;;;;Border Area;Y
10YDOM-1001A062R;DE-SE4-AREA;Border area DE-SE4;;;Active;;;;Border Area;Y
10YDOM-1001A063P;FI-SE1-AREA;Border area FI-SE1;;;Active;;;;Border Area;Y
10YDOM-1001A064N;FI-SE3-AREA;Border area FI-SE3;;;Active;;;;Border Area;Y
10YDOM-1001A065L;NO1-SE3-AREA;Border area NO1-SE3;;;Active;;;;Border Area;Y
10YDOM-1001A066J;NO3-SE2-AREA;Border area NO3-SE2;;;Active;;;;Border Area;Y
10YDOM-1001A067H;NO4-SE1-AREA;Border area NO4-SE1;;;Active;;;;Border Area;Y
10YDOM-1001A068F;NO4-SE2-AREA;Border area NO4-SE2;;;Active;;;;Border Area;Y
10YDOM-1001A069D;PL-SE4-AREA;Border area PL-SE4;;;Active;;;;Border Area;Y
10YDOM-1001A070S;SE1-SE2-AREA;Border area SE1-SE2;;;Active;;;;Border Area;Y
10YDOM-1001A071Q;SE2-SE3-AREA;Border area SE2-SE3;;;Active;;;;Border Area;Y
10YDOM-1001A072O;SE3-SE4-AREA;Border area SE3-SE4;;;Active;;;;Border Area;Y
10YDOM-1001A073M;BORDER_NO1-NO2;Border area NO1-NO2;;;Active;;;;Border Area;Y
10YDOM-1001A074K;BORDER_NO1-NO3;Border area NO1-NO3;;;Active;;;;Border Area;Y
10YDOM-1001A075I;BORDER_NO1-NO5;Border area NO1-NO5;;;Active;;;;Border Area;Y
10YDOM-1001A076G;BORDER_NO2-NO5;Border area NO2-NO5;;;Active;;;;Border Area;Y
10YDOM-1001A077E;BORDER_NO3-NO4;Border area NO3-NO4;;;Active;;;;Border Area;Y
10YDOM-1001A078C;BORDER_NO4-FI;Border area NO4-FI;;;Active;;;;Border Area;Y
10YDOM-1001A079A;ENDK-DK1-SE3;Energinet.dk/Svenska Kraftnat Kontiskan;;;Active;;;;Border Area;Y
10YDOM-1001A080P;ENDK-DK2-SE4;Energinet.dk/Svenska Kraftnät Øresund;;;Active;;;;Border Area;Y
10YDOM-1001A081N;LT-PL-AREA;Border Area LT-PL;;;Active;;;;Border Area;Y
10YDOM-1001A082L;DE-PL-CZ-AREA;Technical Profile between Germany (50Hertz), Poland and Czech Republic;;;Active;;;;Border Area;Y
10YDOM-1001A083J;CZ-SK-AREA;Border Area Czech Republic Slovakia;;;Active;;;;Border Area;Y
10YDOM-1001A084H;FI_RU_AREA;Border Area Finland Russia;;;Active;;;;Border Area;Y
10YDOM-1001A085F;IT-MT-AREA;Border Area Italy Malta;;;Active;;;;Border Area;Y
10YDOM-1001A086D;BE-LU-AREA;Border Area between Belgium (BE) and Luxembourg (LU);;;Active;;;;Border Area;Y
10YDOM-1001A087B;EE-RU-LV-AREA;Border area Estonia-Russia-Latvia;;;Active;;;;Border Area;Y
10YDOM-1001A0889;BORDER_NO3-NO5;Border area NO3-NO5;;;Active;;;;Border Area;Y
10YDOM-1001A0897;RO-UA-AREA;Border Area Romania-Ucraina;;;Active;;;;Border Area;Y
10YDOM-1001A090M;RO-BG-AREA;Border Area Romania-Bulgaria;;;Active;;;;Border Area;Y
10YDOM-1001A091K;RO-MD-AREA;Border Area Romania- Republica Moldova;;;Active;;;;Border Area;Y
10YDOM-1001A092I;BORDER_DE-NL;Border area Germany - Netherlands;;;Active;;;;Border Area;Y
10YDOM-1001A093G;BG-MK-AREA;BORDER AREA BULGARIA MACEDONIA;;;Active;;;;Border Area;Y
10YDOM-1001A094E;BORDER_DK1-NL;Border area Denmark1 - Netherlands;;10X1001A1001A361;Active;;;;Border Area;Y
10YDOM-1010A009U;CH-AT-AREA;Border Area Switzerland Austria;;;Active;;;;Border Area;Y
10YDOM-1010A0108;GR-IT-AREA;Border Area Greece Italy;;;Active;;;;Border Area;Y
10YDOM-1010A0116;AT-IT-AREA;Border area Austria-Italy;;;Active;;;;Border Area;Y
