EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
50YNBFFTWZRAHA3P;NO_NO2-DE;Virtual bidding Zone NO2-DE   ;;10X1001A1001A38Y;Active;;;;Bidding Zone;Y
52Y0000000000006;GTS_LDC;GTS Local Distribution Companies;52Y0000000000006;21X-NL-A-A0A0A-Z;Active;;;;Local Market Area;Y
52Y0000000000014;GTS_PRODUCTION;GTS Aggregated Production;52Y0000000000014;21X-NL-A-A0A0A-Z;Active;;;;Market Area;Y
52Y0000000000022;GTS_PDC;GTS Private Distribution Companies;52Y0000000000022;21X-NL-A-A0A0A-Z;Active;;;;Local Market Area;Y
52Y0000000000030;GTS_INDUSTRY;GTS Aggregated Industry;52Y0000000000030;21X-NL-A-A0A0A-Z;Active;;;;Market Area;Y
52Y000000000004Z;GTS_INDUSTRY_L;GTS Aggregated Industry L-gas;;;Active;;;;Local Market Area;Y
52Y000000000005X;GTS_PRODUCTIONGG;GTS Aggregated Production Green Gas;;;Active;;;;Local Market Area;Y
52Y000000000006V;GTS_LDC_H;GTS Local Distribution Companies H-gas;;;Active;;;;Local Market Area;Y
52Y000000000007T;GTS_LDC_L;GTS Local Distribution Companies L-gas;;;Active;;;;Local Market Area;Y
52Y000000000008R;GTS_POWERPL_H;GTS Power Plants H-gas;;;Active;;;;Local Market Area;Y
52Y000000000009P;GTS_POWERPL_L;GTS Power plants L-gas;;;Active;;;;Local Market Area;Y
52Y0000000000103;GTS_INDUSTRY_H;GTS Aggregated Industry H-gas;;;Active;;;;Local Market Area;Y
55Y11NG-NBP--11D;NG-NBP;National Grid NBP;;21X-GB-A-A0A0A-7;Active;;;;Scheduling Area;Y
55YCOUL1-ENERGY0;COULOMBENERGY;Coulomb Energy;;;Active;;;;Balance Group;Y
55YENERGY-24LTDW;ENERGY24LTD;Energy24limited;;;Active;;;;Balance Group;Y
55YINOVYN77RUNCK;NOVYNRUNCORNG;Inovyn Runcorn G;;;Active;;;;Balance Group;Y
55YIUKCONNECTOR4;IUK;Interconnector UK Ltd;;;Active;;;;Market Area;Y
55YNI-BALANCE-A6;NI-BALANCE-AREA;NI Balancing Zone;;21X0000000013562;Active;;;;Scheduling Area;Y
56Y940000001397J;BALANCE_ZONE_UA;Balancing zone of Ukraine;;;Active;;;;Market Area;Y
58Y-BG-AGGR-EXT4;AGGREX_BG;Aggregated exits Bulgaria;;21X-BG-A-A0A0A-C;Active;;;;Market Area;Y
59Y000000000001A;M_RN_SOR;AREA SUD ORIENTALE;;;Active;;;;Scheduling Area;Y
59Y0000000000028;M_RN_SOC;AREA SUD OCCIDENTALE;;;Active;;;;Scheduling Area;Y
59Y0000000000036;M_RN_NOR;AREA NORD ORIENTALE;;;Active;;;;Scheduling Area;Y
59Y0000000000044;M_RN_NOC;AREA NORD OCCIDENTALE;;;Active;;;;Scheduling Area;Y
59Y0000000000052;M_RN_MER;AREA MERIDIONALE;;;Active;;;;Scheduling Area;Y
59Y0000000000060;M_RN_CEN;AREA CENTRALE;;;Active;;;;Scheduling Area;Y
59Y-0-LITASCO-9M;LITASCO;LITASCO S.A.;;59X-7-LITASCO-5Y;Active;;;;Balance Group;Y
60Y000000000001I;AREA-RO-NTS;Market Area Romania (NTS);;;Active;;;;Market Area,Scheduling Area;Y
60Y000000000002G;AREA-RO-DTS;Market Area Romania (DTS);;;Active;;;;Market Area,Scheduling Area;Y
63Y2261598125895;FRG_POOL_DISTRIB;GRTgaz aggregated end consumers  distribution;;;Active;;;;Local Market Area;Y
63Y252261163634J;FRG_TEST5;TEST;;;Active;;;;Market Area;Y
63Y2681718729982;FRG_POOL_INDUS;GRTgaz aggregated end consumers  industrial;;;Active;;;;Local Market Area;Y
63Y564764785539O;FRG_POOL_GRTGAZ;GRTgaz aggregated end consumers;;;Active;;;;Local Market Area;Y
